,SHEETBAR,TN,TP,TEMP,DO,TURB,COND,VEL,SS,WDP,CHLcal,SECCHI,LONGITUDE,LATITUDE,DATE,FLDNUM,LOCATCD,STRATUM,YEAR,PREDICTED_TN,PREDICTED_TP
1892,41008689,2.877,0.207,24.2,12.2,38.0,417.0,0.24,49.3,1.2,43.25288,28.0,-91.8796291069656,44.2010710325737,08/17/1999,1,M742.6B,,1999,2.877,0.207
1893,41008709,1.058,0.095,21.8,8.6,8.0,134.0,,11.7,1.7,22.5038,91.0,-92.0841852655924,44.4101521483094,08/19/1999,1,CH00.1M,,1999,1.058,0.095
1894,41008710,1.42,0.112,22.6,7.1,10.0,223.0,0.19,8.0,3.5,6.81338,71.0,-91.9650277809776,44.3797492094712,08/19/1999,1,M757.2Z,,1999,1.42,0.112
1895,41008711,1.664,0.182,23.0,6.6,7.0,389.0,0.14,5.8,1.7,2.86934,88.0,-91.9329206186004,44.3269937729101,08/19/1999,1,M753.1X,,1999,1.664,0.182
1896,41008712,1.68,0.198,23.3,6.4,9.0,397.0,,5.4,4.6,4.66988,81.0,-92.100457850966,44.4121000425779,08/19/1999,1,M764.3A,,1999,1.68,0.198
1897,41008714,1.77,0.192,24.7,7.8,6.0,392.0,,5.1,6.8,19.67438,110.0,-92.1340042423484,44.4232707508319,08/19/1999,1,M766.0I,,1999,1.77,0.192
1898,41008734,1.697,0.17,21.2,7.3,11.0,382.0,0.13,8.2,1.5,3.72674,96.0,-91.9329206186004,44.3269937729101,08/31/1999,1,M753.1X,,1999,1.697,0.17
1899,41008735,1.546,0.145,20.9,7.8,12.0,276.0,0.14,11.1,3.0,14.7872,86.0,-91.9650277809776,44.3797492094712,08/31/1999,1,M757.2Z,,1999,1.546,0.145
1900,41008736,1.407,0.095,20.9,9.1,10.0,156.0,,10.6,1.8,23.96138,81.0,-92.0841852655924,44.4101521483094,08/31/1999,1,CH00.1M,,1999,1.407,0.095
1901,41008737,8.81,0.74,23.1,5.3,13.0,372.0,,9.2,4.7,7.928,62.0,-92.100457850966,44.4121000425779,08/31/1999,1,M764.3A,,1999,8.81,0.74
1902,41008742,1.803,0.162,23.4,6.0,10.0,372.0,,7.7,6.4,8.7854,73.0,-92.1340042423484,44.4232707508319,08/31/1999,1,M766.0I,,1999,1.803,0.162
1903,41008746,3.27,0.179,21.0,9.1,37.0,460.0,0.35,42.3,1.4,31.76372,28.0,-91.8796291069656,44.2010710325737,09/01/1999,1,M742.6B,,1999,3.27,0.179
1904,41008750,3.482,0.173,21.4,9.0,29.0,397.0,0.24,33.4,1.8,27.30524,33.0,-91.8804483652946,44.2053915681163,09/01/1999,1,M743.0E,,1999,3.482,0.173
1905,41008751,1.595,0.145,23.1,7.4,10.0,309.0,,10.9,3.6,11.44334,79.0,-91.8805425583996,44.2611846511353,09/01/1999,1,M746.9Y,,1999,1.595,0.145
1906,41008752,1.675,0.163,22.8,6.3,10.0,366.0,,8.0,4.7,5.44154,83.0,-91.9238723691241,44.3231816562913,09/01/1999,1,M752.8Y,,1999,1.675,0.163
1907,41008753,1.506,0.135,22.4,7.6,11.0,279.0,,11.7,2.8,14.95868,79.0,-91.9194452714098,44.3245533232048,09/01/1999,1,M752.8Z,,1999,1.506,0.135
1908,41008754,5.779,0.139,21.6,10.2,31.0,585.0,,69.9,,39.05162,,-91.927464876255,44.2918850692161,09/01/1999,1,ZM00.1M,,1999,5.779,0.139
1909,41008755,2.349,0.155,22.7,6.9,14.0,373.0,0.69,20.8,1.7,16.33052,70.0,-91.9006882148743,44.2618124654878,09/01/1999,1,M747.3R,,1999,2.349,0.155
1910,41008756,2.056,0.15,23.1,7.3,15.0,368.0,0.6,14.7,1.5,13.24388,72.0,-91.8786171498415,44.2352729380653,09/01/1999,1,M745.2L,,1999,2.056,0.15
1911,41008757,2.086,0.152,22.6,7.7,14.0,362.0,,17.7,,13.0724,,-91.8115154090745,44.1602915361276,09/01/1999,1,M738.2F,,1999,2.086,0.152
1912,41008758,6.594,0.221,18.1,8.7,67.0,604.0,,161.0,,3.12656,,-91.922129028355,44.2087004968765,09/01/1999,1,WW01.3M,,1999,6.594,0.221
1913,41008763,1.805,0.158,16.5,8.7,22.0,367.0,0.3,19.4,1.8,16.4497,48.0,-91.8804483652946,44.2053915681163,09/15/1999,1,M743.0E,,1999,1.805,0.158
1914,41008764,1.759,0.162,17.7,7.9,18.0,369.0,0.62,18.1,1.5,6.673,69.0,-91.9006882148743,44.2618124654878,09/15/1999,1,M747.3R,,1999,1.759,0.162
1915,41008765,1.283,0.141,17.2,8.1,13.0,310.0,,11.7,3.2,5.04355,62.0,-91.9194452714098,44.3245533232048,09/15/1999,1,M752.8Z,,1999,1.283,0.141
1916,41008766,1.546,0.18,17.9,7.5,18.0,373.0,,15.6,5.5,,43.0,-91.9238723691241,44.3231816562913,09/15/1999,1,M752.8Y,,1999,1.546,0.18
1917,41008767,4.325,0.043,14.9,9.9,13.0,599.0,,25.9,0.81,8.87755,81.0,-91.927464876255,44.2918850692161,09/15/1999,1,ZM00.1M,,1999,4.325,0.043
1918,41008768,1.454,0.153,18.1,7.9,16.0,339.0,,9.2,3.3,10.6987,58.0,-91.8805425583996,44.2611846511353,09/15/1999,1,M746.9Y,,1999,1.454,0.153
1919,41008769,1.703,0.158,18.0,8.0,15.0,366.0,0.52,23.2,2.5,8.49415,64.0,-91.8786171498415,44.2352729380653,09/15/1999,1,M745.2L,,1999,1.703,0.158
1920,41008770,1.983,0.176,17.9,10.7,21.0,363.0,0.3,22.5,1.2,24.98035,44.0,-91.8796291069656,44.2010710325737,09/15/1999,1,M742.6B,,1999,1.983,0.176
1921,41008774,1.742,0.156,17.8,8.5,17.0,355.0,,15.8,,14.9161,,-91.8115154090745,44.1602915361276,09/15/1999,1,M738.2F,,1999,1.742,0.156
1922,41008775,5.281,0.071,13.2,9.6,13.0,584.0,,18.1,,,,-91.922129028355,44.2087004968765,09/15/1999,1,WW01.3M,,1999,5.281,0.071
1923,41008778,1.522,0.18,18.8,7.4,18.0,376.0,,18.0,4.7,12.32815,49.0,-92.100457850966,44.4121000425779,09/16/1999,1,M764.3A,,1999,1.522,0.18
1924,41008780,1.447,0.181,19.1,7.7,11.0,377.0,0.12,7.4,1.9,3.2224,77.0,-91.9329206186004,44.3269937729101,09/16/1999,1,M753.1X,,1999,1.447,0.181
1925,41008785,1.333,0.117,17.8,8.6,8.0,300.0,0.08,6.3,3.6,5.5228,81.0,-91.9650277809776,44.3797492094712,09/16/1999,1,M757.2Z,,1999,1.333,0.117
1926,41008786,1.245,0.088,17.4,9.6,8.0,145.0,,11.1,1.7,23.06335,102.0,-92.0841852655924,44.4101521483094,09/16/1999,1,CH00.1M,,1999,1.245,0.088
1927,41008787,1.517,0.182,20.3,8.1,17.0,377.0,,15.9,6.1,8.7817,58.0,-92.1340042423484,44.4232707508319,09/16/1999,1,M766.0I,,1999,1.517,0.182
1928,41008809,1.586,0.153,17.0,7.7,14.0,367.0,,10.5,3.9,7.53565,67.0,-92.100457850966,44.4121000425779,09/28/1999,1,M764.3A,,1999,1.586,0.153
1929,41008812,1.464,0.14,16.3,7.8,8.0,367.0,0.12,6.9,1.8,3.89335,88.0,-91.9329206186004,44.3269937729101,09/28/1999,1,M753.1X,,1999,1.464,0.14
1930,41008813,1.27,0.113,16.2,8.2,10.0,282.0,0.69,9.8,3.3,9.64435,72.0,-91.9650277809776,44.3797492094712,09/28/1999,1,M757.2Z,,1999,1.27,0.113
1931,41008814,1.55,0.155,17.1,7.8,15.0,368.0,,11.4,6.3,7.2481,61.0,-92.1340042423484,44.4232707508319,09/28/1999,1,M766.0I,,1999,1.55,0.155
1932,41008833,4.944,0.067,11.2,10.0,10.0,573.0,,15.1,,4.9477,,-91.922129028355,44.2087004968765,09/30/1999,1,WW01.3M,,1999,4.944,0.067
1933,41008834,1.674,0.138,15.6,8.8,14.0,346.0,,17.6,,7.8232,,-91.8115154090745,44.1602915361276,09/30/1999,1,M738.2F,,1999,1.674,0.138
1934,41008835,2.36,0.151,14.5,9.6,28.0,394.0,,32.6,3.0,24.02185,39.0,-91.8804483652946,44.2053915681163,09/30/1999,1,M743.0E,,1999,2.36,0.151
1935,41008836,1.422,0.131,16.4,9.0,10.0,318.0,,9.4,3.2,10.98625,88.0,-91.8805425583996,44.2611846511353,09/30/1999,1,M746.9Y,,1999,1.422,0.131
1936,41008837,3.81,0.044,14.5,10.1,9.0,600.0,,17.1,0.67,6.57715,67.0,-91.927464876255,44.2918850692161,09/30/1999,1,ZM00.1M,,1999,3.81,0.044
1937,41008838,1.524,0.14,16.1,8.2,10.0,359.0,,7.4,2.9,6.19375,79.0,-91.9238723691241,44.3231816562913,09/30/1999,1,M752.8Y,,1999,1.524,0.14
1938,41008842,1.373,0.117,15.7,8.8,10.0,290.0,,10.4,2.8,13.47835,73.0,-91.9194452714098,44.3245533232048,09/30/1999,1,M752.8Z,,1999,1.373,0.117
1939,41008843,1.597,0.136,16.3,8.6,12.0,351.0,0.57,15.8,1.2,6.0979,76.0,-91.9006882148743,44.2618124654878,09/30/1999,1,M747.3R,,1999,1.597,0.136
1940,41008844,1.554,0.151,16.5,8.6,11.0,350.0,0.41,9.0,2.0,7.4398,68.0,-91.8786171498415,44.2352729380653,09/30/1999,1,M745.2L,,1999,1.554,0.151
1941,41008845,2.213,0.195,14.9,10.2,48.0,395.0,,60.0,1.1,41.179,28.0,-91.8796291069656,44.2010710325737,09/30/1999,1,M742.6B,,1999,2.213,0.195
1942,41008893,1.285,0.091,14.0,10.2,7.0,253.0,,10.1,5.0,18.65425,92.0,-92.0778303570588,44.4053385132972,10/12/1999,1,9913007,1.0,1999,1.285,0.091
1943,41008894,1.524,0.129,13.6,8.5,11.0,375.0,,10.0,4.7,5.5228,96.0,-92.0503215415816,44.3979108140465,10/12/1999,1,9913008,1.0,1999,1.524,0.129
1944,41008895,,,13.7,8.4,9.0,383.0,,7.9,1.9,3.89335,95.0,-92.0503506625299,44.3961104854914,10/12/1999,1,9913077,1.0,1999,1.6908709096874313,0.12270298454009693
1945,41008896,0.98,0.093,15.1,13.9,18.0,499.0,0.0,24.3,1.4,57.2818,46.0,-92.0380095635149,44.3829530530233,10/12/1999,1,9913052,3.0,1999,0.98,0.093
1946,41008897,1.419,0.113,16.5,8.9,11.0,348.0,,9.0,5.5,7.15225,92.0,-92.0254500204584,44.3832967208785,10/12/1999,1,9913009,1.0,1999,1.419,0.113
1947,41008898,,,13.5,9.3,7.0,300.0,,8.4,3.0,15.4912,93.0,-92.0154385091039,44.3814102822275,10/12/1999,1,9913078,1.0,1999,3.6255361810527624,0.07711203854147562
1948,41008899,,,13.7,8.4,8.0,378.0,,6.4,2.2,4.1809,85.0,-92.0154686822445,44.3796099669856,10/12/1999,1,9913079,1.0,1999,4.700778712163907,0.06780045782538092
1949,41008926,1.104,0.1,12.3,8.8,9.0,281.0,0.0,9.5,1.5,22.9675,80.0,-92.0213843915352,44.4012676758243,10/14/1999,1,9913049,3.0,1999,1.104,0.1
1950,41008927,1.138,0.143,10.3,10.4,19.0,284.0,0.01,26.8,0.33,40.31635,33.0,-92.0251736062175,44.399949653416,10/14/1999,1,9913036,3.0,1999,1.138,0.143
1951,41008928,4.202,1.253,11.1,2.5,358.0,222.0,0.0,640.8,0.23,75.8767,6.0,-92.0289105366906,44.4017820569139,10/14/1999,1,9913048,3.0,1999,4.202,1.253
1952,41008929,,,9.5,0.7,72.0,305.0,0.0,1143.8,0.3,22.29655,,-92.0076413490957,44.3970978118209,10/14/1999,1,9913118,3.0,1999,2.385885772099187,0.08595395783750909
1953,41008930,1.392,0.104,12.7,10.1,7.0,267.0,0.1,7.9,0.3,58.33615,30.0,-92.0045407520016,44.3948201164649,10/14/1999,1,9913050,3.0,1999,1.392,0.104
1954,41008931,1.457,0.351,11.0,3.8,30.0,341.0,0.0,45.3,0.15,28.23925,15.0,-92.0178058542882,44.3899833904316,10/14/1999,1,9913051,3.0,1999,1.457,0.351
1955,41008932,1.329,0.097,12.6,9.4,7.0,281.0,0.1,7.5,3.6,10.98625,110.0,-92.0153781543679,44.3850109109532,10/14/1999,1,9913027,2.0,1999,1.329,0.097
1956,41008933,,,12.5,9.4,6.0,287.0,0.18,6.2,1.2,9.26095,119.0,-92.0185313146434,44.384137763399,10/14/1999,1,9913091,2.0,1999,2.8078556631580813,0.08022885436677754
1957,41008934,1.246,0.141,11.6,10.3,14.0,308.0,0.0,22.1,0.79,25.55545,49.0,-92.0003486541335,44.3821794929069,10/14/1999,1,9913042,3.0,1999,1.246,0.141
1958,41008935,1.059,0.124,11.7,11.1,12.0,303.0,0.0,16.3,0.9,36.9616,57.0,-91.9965908045041,44.3816963968637,10/14/1999,1,9913043,3.0,1999,1.059,0.124
1959,41008936,,,12.5,10.1,7.0,287.0,0.01,6.8,1.5,10.6987,94.0,-91.980406469853,44.3739006172289,10/14/1999,1,9913121,3.0,1999,1.9841679339367206,0.08851431621615453
1960,41008937,,,12.2,10.6,7.0,284.0,,6.9,0.5,11.4655,50.0,-91.9790967328452,44.3770399263244,10/14/1999,1,9913120,3.0,1999,2.4958819318097025,0.0762139571558129
1961,41008938,1.334,0.101,12.0,12.6,9.0,291.0,0.0,14.0,1.1,30.8272,78.0,-91.9883392037345,44.3870253266179,10/14/1999,1,9913104,3.0,1999,1.334,0.101
1962,41008943,,,12.7,14.0,11.0,262.0,0.0,35.7,0.2,17.0248,20.0,-91.9927095274752,44.3884143835794,10/14/1999,1,9913103,3.0,1999,3.2508970923124334,0.07158653413742147
1963,41008944,,,11.8,10.6,8.0,281.0,0.02,12.9,0.96,16.4497,91.0,-91.9882849299348,44.3901758477636,10/14/1999,1,9913102,3.0,1999,3.9457972305565114,0.06071669963623201
1964,41008945,,,13.6,12.7,4.0,263.0,0.03,4.8,0.31,10.1236,31.0,-91.9957631437617,44.3933928466049,10/14/1999,1,9913119,3.0,1999,3.2459211760999405,0.07145220665103735
1965,41008946,1.435,0.135,12.6,10.6,13.0,264.0,0.02,25.2,1.2,21.6256,60.0,-91.9869674686992,44.3937653127829,10/14/1999,1,9913039,3.0,1999,1.435,0.135
1966,41008947,1.219,0.13,12.0,11.7,20.0,291.0,,34.9,0.87,41.46655,48.0,-91.9837821757765,44.39643787134,10/14/1999,1,9913038,3.0,1999,1.219,0.13
1967,41008948,1.39,0.141,11.7,10.4,20.0,281.0,,33.3,0.91,24.8845,52.0,-91.9869131085464,44.3969158288608,10/14/1999,1,9913037,3.0,1999,1.39,0.141
1968,41008949,,,13.1,11.5,36.0,263.0,0.01,57.5,0.55,60.1573,37.0,-91.9950709569034,44.3978881844106,10/14/1999,1,9913117,3.0,1999,3.3651038573597636,0.06606017415177558
1969,41008950,,,11.7,11.3,9.0,285.0,,9.6,0.76,22.5841,76.0,-91.997497442239,44.4028610735665,10/14/1999,1,9913101,3.0,1999,1.1714972233572598,0.096
1970,41008951,0.96,0.096,11.8,12.4,7.0,312.0,,8.2,0.52,19.22935,52.0,-91.9993194902103,44.4064781876264,10/14/1999,1,9913035,3.0,1999,0.96,0.096
1971,41008952,1.395,0.129,11.6,9.4,7.0,387.0,0.03,8.4,0.4,5.9062,40.0,-91.9931955080336,44.3600595811473,10/15/1999,1,9913227,3.0,1999,1.395,0.129
1972,41008953,,,12.6,8.3,6.0,386.0,0.15,4.2,2.0,2.4556,88.0,-91.9937612269621,44.3636657281334,10/15/1999,1,9913109,3.0,1999,2.085396749715849,0.13478669100342106
1973,41008954,,,13.0,8.5,5.0,387.0,0.06,4.0,0.29,1.97635,29.0,-92.0050314416765,44.3651148985003,10/15/1999,1,9913108,3.0,1999,2.499880163263407,0.08731370821398962
1974,41008955,,,13.1,8.4,6.0,388.0,0.08,4.0,0.49,2.16805,49.0,-92.0061720982345,44.3718770004184,10/15/1999,1,9913095,2.0,1999,4.246407626450821,0.07487777761629694
1975,41008956,,,12.8,9.3,9.0,390.0,0.0,20.0,0.23,4.08505,23.0,-92.0099294055933,44.3723597770318,10/15/1999,1,9913094,2.0,1999,4.409223948054506,0.07378736164503502
1976,41008957,,,13.0,8.4,5.0,389.0,0.04,3.6,0.67,1.78465,67.0,-92.0111768062625,44.3728207277837,10/15/1999,1,9913093,2.0,1999,4.361525712884087,0.07410680699866139
1977,41008958,1.24,0.142,12.1,9.7,8.0,410.0,0.01,10.2,0.28,,28.0,-92.0423294231352,44.387490791695,10/15/1999,1,9913026,2.0,1999,1.24,0.142
1978,41008959,,,13.0,8.7,8.0,388.0,0.06,6.1,0.37,3.4141,37.0,-92.0540881504405,44.3979420710911,10/15/1999,1,9913090,2.0,1999,1.848087214474703,0.11677029379340742
1979,41008960,1.496,0.119,12.8,8.5,9.0,382.0,,7.1,4.9,5.23525,106.0,-91.9755120437126,44.3666545074932,10/15/1999,1,9913080,1.0,1999,1.496,0.119
1980,41008964,1.314,0.098,12.3,9.2,7.0,289.0,,6.7,1.7,9.5485,105.0,-91.9679830220303,44.3665867246765,10/15/1999,1,9913010,1.0,1999,1.314,0.098
1981,41008965,1.45,0.12,13.1,8.6,7.0,383.0,0.15,5.6,1.4,4.08505,105.0,-91.9674504864754,44.3611801720783,10/15/1999,1,9913016,2.0,1999,1.45,0.12
1982,41008966,1.283,0.082,12.4,9.4,8.0,290.0,0.05,8.7,5.6,12.8074,88.0,-91.9555306882534,44.3610717893663,10/15/1999,1,9913017,2.0,1999,1.283,0.082
1983,41008967,1.305,0.094,12.4,9.4,8.0,290.0,0.07,7.4,2.4,11.8489,105.0,-91.9549273366544,44.3597158346721,10/15/1999,1,9913018,2.0,1999,1.305,0.094
1984,41008968,1.187,0.097,12.5,11.6,10.0,312.0,0.03,12.4,0.45,18.7501,45.0,-91.9467396578799,44.3614412033474,10/15/1999,1,9913054,3.0,1999,1.187,0.097
1985,41008969,1.248,0.092,12.4,10.0,7.0,289.0,0.18,7.9,3.0,17.7916,97.0,-91.9536165741749,44.3628548492439,10/15/1999,1,9913028,2.0,1999,1.248,0.092
1986,41008970,,,12.9,9.8,7.0,285.0,0.06,5.4,3.1,13.28665,89.0,-91.9560461363435,44.3673785303491,10/15/1999,1,9913086,2.0,1999,3.131832794085088,0.10749990327684683
1987,41008971,,,13.3,12.4,9.0,292.0,0.0,12.4,5.0,26.9932,65.0,-91.9627889303225,44.376442849401,10/15/1999,1,9913092,2.0,1999,2.483532603474497,0.09828043791530158
1988,41008972,1.237,0.086,13.2,10.2,6.0,283.0,0.01,5.9,0.87,8.7817,87.0,-91.9716136399101,44.3742719285504,10/15/1999,1,9913053,3.0,1999,1.237,0.086
1989,41008973,,,12.5,11.1,7.0,290.0,0.01,7.7,1.1,12.6157,73.0,-91.970907308369,44.3787670064754,10/15/1999,1,9913107,3.0,1999,3.084358632435686,0.0775278640827621
1990,41008974,1.273,0.095,12.7,10.5,9.0,289.0,0.0,9.8,1.4,12.13645,85.0,-91.975284447668,44.3797066495291,10/15/1999,1,9913106,3.0,1999,1.273,0.095
1991,41008979,,,13.0,12.2,8.0,281.0,0.01,8.4,0.73,15.6829,73.0,-91.967062885388,44.383233738787,10/15/1999,1,9913105,3.0,1999,2.076844350681295,0.08025328798684966
1992,41008980,1.153,0.092,12.7,12.8,8.0,286.0,0.02,9.6,0.86,21.0505,64.0,-91.9695495792971,44.3846066316326,10/15/1999,1,9913041,3.0,1999,1.153,0.092
1993,41008981,1.172,0.098,12.7,12.8,9.0,286.0,0.02,11.5,0.93,21.0505,66.0,-91.9695258902341,44.3859568478691,10/15/1999,1,9913040,3.0,1999,1.172,0.098
1994,41008982,,,10.8,9.4,6.0,378.0,0.0,4.2,0.91,4.756,91.0,-91.9528427891877,44.3358389964836,10/18/1999,1,9913111,3.0,1999,2.56173793674806,0.13916826962557796
1995,41008983,1.466,0.126,11.0,9.3,6.0,379.0,0.05,5.8,0.55,4.9477,55.0,-91.9459609760335,44.3348754008775,10/18/1999,1,9913044,3.0,1999,1.466,0.126
1996,41008984,1.438,0.115,10.5,9.2,6.0,378.0,0.03,3.7,3.8,3.0307,133.0,-91.9479629066028,44.3281416477005,10/18/1999,1,9913056,3.0,1999,1.438,0.115
1997,41008985,,,11.0,9.3,9.0,380.0,0.02,6.9,1.7,2.74315,87.0,-91.9392254384961,44.3258100948562,10/18/1999,1,9913113,3.0,1999,2.6423152566323695,0.11882464660657807
1998,41008986,,,11.0,9.5,9.0,381.0,0.03,6.7,1.2,5.3311,90.0,-91.9354554404096,44.3262251667843,10/18/1999,1,9913112,3.0,1999,2.6799999999999997,0.08499999999999999
1999,41008987,1.443,0.106,11.6,9.3,8.0,351.0,0.18,6.9,5.6,7.53565,102.0,-91.9285422795385,44.3270608191274,10/18/1999,1,9913021,2.0,1999,1.443,0.106
2000,41008988,,,11.1,9.7,7.0,319.0,,6.0,4.4,30.6355,118.0,-91.9210266891058,44.3265399204918,10/18/1999,1,9913084,1.0,1999,2.4595000000000002,0.0875
2001,41008989,,,10.8,9.8,8.0,314.0,,7.4,7.2,15.2995,110.0,-91.9234358166557,44.3319644229839,10/18/1999,1,9913083,1.0,1999,5.38239775115556,0.06960990190035543
2002,41008990,1.425,0.106,11.5,9.6,8.0,346.0,0.25,6.0,2.8,11.4655,101.0,-91.9316118567583,44.3306907535798,10/18/1999,1,9913020,2.0,1999,1.425,0.106
2003,41008991,2.056,0.295,11.5,9.4,9.0,346.0,0.25,6.4,3.9,9.83605,101.0,-91.9328414254096,44.3320526904648,10/18/1999,1,9913019,2.0,1999,2.056,0.295
2004,41008995,1.368,0.093,11.1,9.6,7.0,317.0,,6.6,3.6,12.0406,102.0,-91.9333705629572,44.3374593979183,10/18/1999,1,9913013,1.0,1999,1.368,0.093
2005,41008996,,,10.1,11.7,9.0,286.0,0.05,12.5,0.86,38.4952,83.0,-91.9345514027238,44.3415217397526,10/18/1999,1,9913110,3.0,1999,2.918490143119831,0.07395453509365554
2006,41008997,1.479,0.107,11.6,9.3,7.0,359.0,,4.4,3.0,7.0564,110.0,-91.9433718490707,44.339352946963,10/18/1999,1,9913012,1.0,1999,1.479,0.107
2007,41008998,,,11.5,9.0,6.0,379.0,,3.4,2.2,3.31825,140.0,-91.9483566471542,44.3411995403045,10/18/1999,1,9913082,1.0,1999,2.200999702147452,0.12199999381192769
2008,41008999,,,11.5,9.5,5.0,379.0,0.05,3.3,2.9,3.0307,134.0,-91.9545720902306,44.344407625859,10/18/1999,1,9913098,2.0,1999,2.5964059313043033,0.13119101458841648
2009,41009000,1.405,0.11,11.1,10.6,8.0,372.0,,4.8,0.29,6.0979,29.0,-91.9557225607345,44.3502700508285,10/18/1999,1,9913011,1.0,1999,1.405,0.11
2010,41009001,,,11.5,9.6,7.0,369.0,0.02,4.7,2.6,5.5228,114.0,-91.9575803490937,44.3516374594078,10/18/1999,1,9913088,2.0,1999,3.2935021082456517,0.0897840987520537
2011,41009002,,,11.5,10.3,7.0,367.0,0.06,5.1,0.42,6.8647,42.0,-91.9606688993453,44.3543664809488,10/18/1999,1,9913097,2.0,1999,2.5564948462784187,0.07763152599431355
2012,41009003,1.378,0.105,10.3,10.8,15.0,282.0,0.06,21.9,0.27,26.6098,27.0,-91.9512435817027,44.3551806144834,10/18/1999,1,9913029,2.0,1999,1.378,0.105
2013,41009004,,,10.3,10.8,7.0,290.0,0.07,9.9,5.5,26.13055,98.0,-91.9493617055881,44.3551633189038,10/18/1999,1,9913087,2.0,1999,1.4797692671280678,0.11630769634756308
2014,41009005,,,10.1,10.6,8.0,290.0,0.11,8.2,3.3,30.2521,103.0,-91.9468122292331,44.3573905655373,10/18/1999,1,9913096,2.0,1999,1.2846575350316507,0.10109036795944087
2015,41009006,,,10.9,9.9,7.0,308.0,,7.7,2.5,12.51985,113.0,-91.9457512790366,44.3465772784197,10/18/1999,1,9913081,1.0,1999,3.1796514281462556,0.14317057060174146
2016,41009023,1.506,0.125,12.1,9.4,12.0,386.0,,8.6,6.5,9.64435,65.0,-92.1340042423484,44.4232707508319,10/20/1999,1,M766.0I,,1999,1.506,0.125
2017,41009025,1.406,0.103,9.1,10.9,7.0,313.0,0.03,6.3,3.3,22.7758,118.0,-91.9650277809776,44.3797492094712,10/20/1999,1,M757.2Z,,1999,1.406,0.103
2018,41009026,1.48,0.118,10.1,9.5,6.0,384.0,0.08,4.0,1.8,2.839,103.0,-91.9329206186004,44.3269937729101,10/20/1999,1,M753.1X,,1999,1.48,0.118
2019,41009027,1.064,0.074,9.4,11.2,6.0,155.0,,8.8,1.0,22.67995,102.0,-92.0841852655924,44.4101521483094,10/20/1999,1,CH00.1M,,1999,1.064,0.074
2020,41009031,1.533,0.127,11.3,9.1,11.0,386.0,,8.9,4.7,7.4398,71.0,-92.100457850966,44.4121000425779,10/20/1999,1,M764.3A,,1999,1.533,0.127
2021,41009033,2.245,0.103,7.7,13.0,16.0,429.0,0.22,18.0,1.3,51.24325,54.0,-91.8796291069656,44.2010710325737,10/21/1999,1,M742.6B,,1999,2.245,0.103
2022,41009034,1.831,0.121,10.1,10.1,9.0,369.0,0.4,13.4,1.2,7.72735,115.0,-91.9006882148743,44.2618124654878,10/21/1999,1,M747.3R,,1999,1.831,0.121
2023,41009035,3.84,0.024,8.6,11.0,5.0,611.0,,10.8,0.68,4.27675,68.0,-91.927464876255,44.2918850692161,10/21/1999,1,ZM00.1M,,1999,3.84,0.024
2024,41009036,1.421,0.091,10.0,10.3,8.0,304.0,,6.4,3.0,14.24515,101.0,-91.9194452714098,44.3245533232048,10/21/1999,1,M752.8Z,,1999,1.421,0.091
2025,41009040,1.491,0.111,10.7,9.6,7.0,369.0,,4.8,5.5,7.2481,103.0,-91.9238723691241,44.3231816562913,10/21/1999,1,M752.8Y,,1999,1.491,0.111
2026,41009041,1.46,0.101,11.0,10.8,7.0,331.0,,5.8,3.6,14.62855,102.0,-91.8805425583996,44.2611846511353,10/21/1999,1,M746.9Y,,1999,1.46,0.101
2027,41009042,1.58,0.099,10.6,10.6,7.0,360.0,0.24,7.0,1.7,10.507,93.0,-91.8786171498415,44.2352729380653,10/21/1999,1,M745.2L,,1999,1.58,0.099
2028,41009043,1.881,0.121,8.9,12.7,20.0,397.0,,22.1,3.0,70.3174,57.0,-91.8804483652946,44.2053915681163,10/21/1999,1,M743.0E,,1999,1.881,0.121
2029,41009044,1.704,0.109,10.0,10.9,10.0,366.0,,15.2,,15.97045,,-91.8115154090745,44.1602915361276,10/21/1999,1,M738.2F,,1999,1.704,0.109
2030,41009045,4.79,0.048,8.9,11.5,7.0,572.0,,27.6,,6.19375,,-91.922129028355,44.2087004968765,10/21/1999,1,WW01.3M,,1999,4.79,0.048
2031,41009046,4.596,0.055,6.9,11.0,7.0,561.0,,15.1,,4.85185,,-91.922129028355,44.2087004968765,11/02/1999,1,WW01.3M,,1999,4.596,0.055
2032,41009047,1.966,0.101,9.1,10.7,12.0,375.0,,15.2,,12.8074,,-91.8115154090745,44.1602915361276,11/02/1999,1,M738.2F,,1999,1.966,0.101
2033,41009048,3.899,0.166,5.4,11.7,71.0,521.0,0.23,101.9,1.5,36.67405,26.0,-91.8796291069656,44.2010710325737,11/02/1999,1,M742.6B,,1999,3.899,0.166
2034,41009049,2.93,0.153,6.9,11.0,50.0,451.0,,60.6,1.8,32.07325,28.0,-91.8804483652946,44.2053915681163,11/02/1999,1,M743.0E,,1999,2.93,0.153
2035,41009050,1.705,0.088,9.1,10.7,7.0,390.0,0.5,6.5,1.4,6.8647,115.0,-91.8786171498415,44.2352729380653,11/02/1999,1,M745.2L,,1999,1.705,0.088
2036,41009051,1.738,0.099,8.8,10.5,9.0,392.0,0.52,8.6,1.5,6.673,85.0,-91.9006882148743,44.2618124654878,11/02/1999,1,M747.3R,,1999,1.738,0.099
